Sdate,Cosit,Period,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flag Text
09/12/2024 05:00,80474,60,2,Westbound,2,West,2,Checked
09/12/2024 06:00,80474,60,1,Eastbound,1,East,2,Checked
09/12/2024 06:00,80474,60,2,Westbound,2,West,0,Checked
09/12/2024 07:00,80474,60,1,Eastbound,1,East,3,Checked
09/12/2024 07:00,80474,60,2,Westbound,2,West,3,Checked
09/12/2024 08:00,80474,60,1,Eastbound,1,East,8,Checked
09/12/2024 08:00,80474,60,2,Westbound,2,West,0,Checked
09/12/2024 09:00,80474,60,1,Eastbound,1,East,1,Checked
09/12/2024 09:00,80474,60,2,Westbound,2,West,0,Checked
09/12/2024 10:00,80474,60,1,Eastbound,1,East,3,Checked
09/12/2024 10:00,80474,60,2,Westbound,2,West,1,Checked
09/12/2024 11:00,80474,60,1,Eastbound,1,East,2,Checked
09/12/2024 11:00,80474,60,2,Westbound,2,West,3,Checked
09/12/2024 12:00,80474,60,1,Eastbound,1,East,0,Checked
09/12/2024 12:00,80474,60,2,Westbound,2,West,0,Checked
